cantonShort;postalCode;city;streetName;streetNumber
ZH;8954;Geroldswil;Welbrigstrasse;57B
ZH;8954;Geroldswil;Welbrigstrasse;61
ZH;8954;Geroldswil;Welbrigstrasse;63
ZH;8954;Geroldswil;Welbrigstrasse;65A
ZH;8954;Geroldswil;Welbrigstrasse;65B
ZH;8954;Geroldswil;Welbrigstrasse;67A
ZH;8954;Geroldswil;Welbrigstrasse;67B
ZH;8954;Geroldswil;Welbrigstrasse;67C
ZH;8954;Geroldswil;Welbrigstrasse;69
ZH;8954;Geroldswil;Welbrigstrasse;6A
ZH;8954;Geroldswil;Welbrigstrasse;6B
ZH;8954;Geroldswil;Welbrigstrasse;7
ZH;8954;Geroldswil;Welbrigstrasse;71A
ZH;8954;Geroldswil;Welbrigstrasse;71B
ZH;8954;Geroldswil;Welbrigstrasse;73
ZH;8954;Geroldswil;Welbrigstrasse;75
ZH;8954;Geroldswil;Welbrigstrasse;79
ZH;8954;Geroldswil;Welbrigstrasse;81
ZH;8954;Geroldswil;Welbrigstrasse;83
ZH;8954;Geroldswil;Welbrigstrasse;8A
ZH;8954;Geroldswil;Welbrigstrasse;8B
ZH;8954;Geroldswil;Welbrigstrasse;8C
ZH;8954;Geroldswil;Welbrigstrasse;9
ZH;8954;Geroldswil;Wibergstrasse;1
ZH;8954;Geroldswil;Wibergstrasse;11
ZH;8954;Geroldswil;Wibergstrasse;13
ZH;8954;Geroldswil;Wibergstrasse;15
ZH;8954;Geroldswil;Wibergstrasse;18
ZH;8954;Geroldswil;Wibergstrasse;20
ZH;8954;Geroldswil;Wibergstrasse;22
ZH;8954;Geroldswil;Wibergstrasse;24
ZH;8954;Geroldswil;Wibergstrasse;26
ZH;8954;Geroldswil;Wibergstrasse;28
ZH;8954;Geroldswil;Wibergstrasse;3
ZH;8954;Geroldswil;Wibergstrasse;30
ZH;8954;Geroldswil;Wibergstrasse;32
ZH;8954;Geroldswil;Wibergstrasse;34
ZH;8954;Geroldswil;Wibergstrasse;36
ZH;8954;Geroldswil;Wibergstrasse;42
ZH;8954;Geroldswil;Wibergstrasse;46
ZH;8954;Geroldswil;Wibergstrasse;5
ZH;8954;Geroldswil;Wibergstrasse;7
ZH;8954;Geroldswil;Wibergstrasse;9
ZH;8954;Geroldswil;Wiesenstrasse;1
ZH;8954;Geroldswil;Wiesenstrasse;10
ZH;8954;Geroldswil;Wiesenstrasse;11
ZH;8954;Geroldswil;Wiesenstrasse;12
ZH;8954;Geroldswil;Wiesenstrasse;13
ZH;8954;Geroldswil;Wiesenstrasse;14
ZH;8954;Geroldswil;Wiesenstrasse;15
ZH;8954;Geroldswil;Wiesenstrasse;16
ZH;8954;Geroldswil;Wiesenstrasse;17
ZH;8954;Geroldswil;Wiesenstrasse;19
ZH;8954;Geroldswil;Wiesenstrasse;21
ZH;8954;Geroldswil;Wiesenstrasse;23
ZH;8954;Geroldswil;Wiesenstrasse;25
ZH;8954;Geroldswil;Wiesenstrasse;27
ZH;8954;Geroldswil;Wiesenstrasse;29
ZH;8954;Geroldswil;Wiesenstrasse;3
ZH;8954;Geroldswil;Wiesenstrasse;31
ZH;8954;Geroldswil;Wiesenstrasse;33
ZH;8954;Geroldswil;Wiesenstrasse;35
ZH;8954;Geroldswil;Wiesenstrasse;4
ZH;8954;Geroldswil;Wiesenstrasse;40
ZH;8954;Geroldswil;Wiesenstrasse;42
ZH;8954;Geroldswil;Wiesenstrasse;44
ZH;8954;Geroldswil;Wiesenstrasse;46
ZH;8954;Geroldswil;Wiesenstrasse;5
ZH;8954;Geroldswil;Wiesenstrasse;6
ZH;8954;Geroldswil;Wiesenstrasse;7
ZH;8954;Geroldswil;Wiesenstrasse;8
ZH;8954;Geroldswil;Wiesenstrasse;9
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;1
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;10
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;11
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;12
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;13
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;15
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;17
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;18
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;19
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;2
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;20
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;21
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;22
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;24
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;25
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;27
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;29
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;3
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;31
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;33
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;35
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;37
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;5
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;6
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;7
ZH;8955;Oetwil a.d. Limmat;Alte Landstrasse;8
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;10
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;11
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;12
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;13
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;14
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;15
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;16
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;17
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;18
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;2
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;21
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;4
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;6
ZH;8955;Oetwil a.d. Limmat;Bergstrasse;8
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;1
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;11
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;3
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;5
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;7
ZH;8955;Oetwil a.d. Limmat;Bohnäckerstrasse;9
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;1
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;10
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;11
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;13
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;2
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;3
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;4
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;5
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;6
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;8
ZH;8955;Oetwil a.d. Limmat;Bösgrütstrasse;9
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;1
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;2
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;3
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;4
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;5
ZH;8955;Oetwil a.d. Limmat;Chirchhöfli;6
ZH;8955;Oetwil a.d. Limmat;Chisbüel;4
ZH;8955;Oetwil a.d. Limmat;Chisbüel;672
ZH;8955;Oetwil a.d. Limmat;Cholhölzlistrasse;1
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;10
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;12
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;14A
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;14B
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;14C
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;14D
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;14E
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;16
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;18
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;20
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;22
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;26
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;2A
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;2B
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;2C
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;2D
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;32
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;33
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;34
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;35
ZH;8955;Oetwil a.d. Limmat;Dorfstrasse;37
